"","usernames","scores"
"1","LindsayKelleyS",0.2
"2","barbellking",0.2
"3","xproofed",0.2
"4","Frank_G_of_PB",0.2
"5","shved80",0.2
"6","bradengw",0.2
"7","PulpitStoner",0.2
"8","TanukiMako21",0.3
"9","JudicialCorrupt",0.3
"10","IAM_4_EU",0.3
"11","strechington",0.3
"12","AndrewJMullen",0.3
"13","BrainFooood",0.3
"14","denijeg",0.3
"15","carla_wessells",0.3
"16","benoitmortier1",0.3
"17","FrancisDMillet",0.3
"18","CameronJMClark",0.4
"19","Chris63229321",0.4
"20","JIM20622",0.4
"21","BVPirlo",0.4
"22","sramphaul",0.4
"23","AW_HateWatch",0.4
"24","Zach___Thomas",0.4
"25","soloyochapin",0.4
"26","Obscure_Rebel",0.5
"27","andrewocoker",0.5
"28","SophiaLamar1",0.5
"29","Modmother",0.5
"30","ClodaghSister",0.5
"31","templeweste",0.5
"32","giuliag",0.5
"33","jphoganorg",0.5
"34","xseasniperx",0.5
"35","ChangingWindsMO",0.5
"36","AP_Doramaqueen",0.5
"37","Auggy806",0.6
"38","ViidarUkonpoika",0.6
"39","chillin662",0.6
"40","EthnoPluralist",0.7
"41","Moonshi84280504",0.7
"42","PeterMerlinCane",0.7
"43","IamTagiCTyronce",0.8
"44","GeoKnight64",0.9
"45","DiabeticCyborgg",0.9
"46","SammyRosario13",1
"47","Whatsinaname666",1
"48","StopandThinkNe1",1
"49","WeThePeopleSOS",1
"50","MrTone20",1
"51","wesedmund",1
"52","BlkFreeThinkers",1.1
"53","WhiteBastion",1.1
"54","TKNConfessions",1.1
"55","chrisoldcorn",1.3
"56","MasterSnugs",1.5
"57","Natasha20688798",1.7
"58","showsumlove18",1.8
"59","LieDete86289015",2
"60","boxkhar",2
"61","iuiclosangeles",2.2
"62","Testacc73032361",2.3
"63","smartdissent",2.4
"64","IUICMEMPHIS",2.5
"65","Trista_diGenova",2.6
"66","IUICPittsburgh",2.6
"67","iuic_kentucky",2.7
"68","Malachi_Wife",2.8
"69","mOppenheimORG",2.8
"70","MoriahBIsrael",3
"71","iuicbayareaca",3
"72","iuictallahassee",3
"73","calimanoss",3.1
"74","SmithWinstona",3.2
"75","iuicdenver",3.3
"76","IuicSan",3.6
"77","leviteking",4
"78","IuicBoston",4.2
