,unlist.botscore.,myUsersFinal,Bot?,Notes
1,0.4,OneLove62677224,0,
2,0.7,IamTagiCTyronce,0,
3,1.1,NNorma192,0,
4,2.1,Dab7One,0,
5,0.2,RenRidesCycles,0,
6,0.7,Lolly9849,0,
7,0.4,retiredsgt132,0,
8,1.6,jboogiebrown,0,
9,2.7,Marsh4LL1,0,
10,2,chuddles11,0,
11,1.9,hyperbranch,0,
12,1.3,CJFinNM,0,
13,2.2,Nnomoodu,0,
14,1.8,1911_goz,0,
15,0.5,FearlessKamala,0,
16,0.2,mousseman,0,
17,0.6,SteveBrant,0,
18,0.2,SneakyMaus,0,
19,0.1,N_A_T_39,0,
20,1,JudithH68877882,0,
21,3,a_fly_guy,0,
22,0.4,MudRemover,0,
23,0.3,BlueCollar61,0,
24,0.4,AP_Doramaqueen,0,
25,0.2,retiredpizzaman,0,
26,0.7,GopTennessee,0,
27,1.6,SissyKatie7,1,Porn
28,3.3,headofslytheri1,1,Porn
29,0.2,Occidentaljihad,0,Used hashtag: #accelerationist to get retweet
30,3.3,accelerbot,1,Bot that automatically retweets tweets with hashtag:  #accelerationist
31,1.5,DailyLafayette,0,
32,0.4,beurig,0,Non english
33,0.5,Obscure_Rebel,0,
34,2.3,KaneMaximus_,0,
35,0.7,davidro17437347,1,
36,1.1,richadmllwallfc,1,
37,1,TheBloodEagle,0,
38,0.7,jean_mcghie,0,
39,1,LandonGood7,0,
40,0.3,resistasista76,0,
41,0.4,LairdAlbie,0,
42,0.5,MHBDEN,0,
43,0.4,JacobStoil,0,
