usernames,scores,bot,botometer
LindsayKelleyS,0.2,0,0
barbellking,0.2,0,0
xproofed,0.2,0,0
Frank_G_of_PB,0.2,0,0
shved80,0.2,0,0
bradengw,0.2,0,0
PulpitStoner,0.2,0,0
TanukiMako21,0.3,0,0
JudicialCorrupt,0.3,0,0
IAM_4_EU,0.3,0,0
strechington,0.3,0,0
AndrewJMullen,0.3,0,0
BrainFooood,0.3,0,0
denijeg,0.3,0,0
carla_wessells,0.3,0,0
benoitmortier1,0.3,0,0
FrancisDMillet,0.3,0,0
CameronJMClark,0.4,0,0
Chris63229321,0.4,0,0
JIM20622,0.4,0,0
BVPirlo,0.4,0,0
sramphaul,0.4,0,0
AW_HateWatch,0.4,0,0
Zach___Thomas,0.4,0,0
soloyochapin,0.4,0,0
Obscure_Rebel,0.5,0,0
andrewocoker,0.5,0,0
SophiaLamar1,0.5,0,0
Modmother,0.5,0,0
ClodaghSister,0.5,0,0
templeweste,0.5,0,0
giuliag,0.5,0,0
jphoganorg,0.5,0,0
xseasniperx,0.5,0,0
ChangingWindsMO,0.5,0,0
AP_Doramaqueen,0.5,0,0
Auggy806,0.6,0,0
ViidarUkonpoika,0.6,0,0
chillin662,0.6,0,0
EthnoPluralist,0.7,0,0
Moonshi84280504,0.7,0,0
PeterMerlinCane,0.7,0,0
IamTagiCTyronce,0.8,0,0
GeoKnight64,0.9,0,0
DiabeticCyborgg,0.9,0,0
SammyRosario13,1,0,0
Whatsinaname666,1,0,0
StopandThinkNe1,1,0,0
WeThePeopleSOS,1,0,0
MrTone20,1,0,0
wesedmund,1,0,0
BlkFreeThinkers,1.1,0,0
WhiteBastion,1.1,0,0
TKNConfessions,1.1,0,0
chrisoldcorn,1.3,0,0
MasterSnugs,1.5,0,0
Natasha20688798,1.7,0,0
showsumlove18,1.8,0,0
LieDete86289015,2,0,0
boxkhar,2,0,0
iuiclosangeles,2.2,0,0
Testacc73032361,2.3,0,0
smartdissent,2.4,0,0
IUICMEMPHIS,2.5,0,0
Trista_diGenova,2.6,0,0
IUICPittsburgh,2.6,0,0
iuic_kentucky,2.7,0,0
Malachi_Wife,2.8,0,0
mOppenheimORG,2.8,0,0
MoriahBIsrael,3,0,1
iuicbayareaca,3,0,1
iuictallahassee,3,0,1
calimanoss,3.1,0,1
SmithWinstona,3.2,0,1
iuicdenver,3.3,0,1
IuicSan,3.6,0,1
leviteking,4,1,1
IuicBoston,4.2,0,1
